V_pb,n_0.2,n_0.4,n_0.6,n_0.8,n_1.6,r_ml
-4.0,4.342727686266486e-05,4.342727686266486e-05,8.685021164894766e-05,8.685021164894766e-05,0.00021709297223018438,-2.9671137856352607
-3.850011543508524,4.342727686266486e-05,8.685021164894766e-05,8.685021164894766e-05,0.00013026880522704667,0.00026049854739031814,-2.8390279987082954
-3.699991797446187,4.342727686266486e-05,8.685021164894766e-05,0.00013026880522704667,0.00021709297223018438,0.000390689249910088,-2.7109154913963085
-3.549997369826814,8.685021164894766e-05,0.00013026880522704667,0.00021709297223018438,0.00026049854739031814,0.0005642161653756039,-2.582824605299491
-3.3999969133722594,8.685021164894766e-05,0.00021709297223018438,0.00030389978481245835,0.000390689249910088,0.0007810273534955295,-2.4547285707524766
-3.250001023441651,0.00013026880522704667,0.00026049854739031814,0.0004340774793185929,0.0005642161653756039,0.001084381292219893,-2.326636435884322
-3.0999990348465305,0.0001736830584648997,0.0007810273534955295,0.0005642161653756039,0.0007810273534955295,0.0015606526425729409,-2.19853909293375
-2.9500071430798576,0.00026049854739031814,0.0005642161653756039,0.0008243766056055041,0.001084381292219893,0.0022092729880147646,-2.0704503723815098
-2.799998134593398,0.000390689249910088,0.0007810273534955295,0.0011710149414006937,0.0015606526425729409,0.003115717099806224,-1.9423470346475564
-2.6500041007371435,0.0005642161653756039,0.001084381292219893,0.0016471913460381594,0.0022092729880147646,0.0043643711077510335,-1.8142564848130094
-2.499996931948307,0.0007810273534955295,0.0015606526425729409,0.0023388808920564892,0.003072595967674963,0.006166425485431406,-1.6861547181274101
-2.3500034925339586,0.001084381292219893,0.0021660617565076304,0.0032881588260754474,0.0043643711077510335,0.008685319195168106,-1.5580646759289913
-2.199998172182031,0.0015606526425729409,0.003072595967674963,0.00462226570078263,0.006123606211854377,0.012162067970822983,-1.4299644877548434
-2.050000457140078,0.0021660617565076304,0.0043643711077510335,0.00650882777528995,0.008642747565285151,0.017075096376059133,-1.301870794294593
-1.9000087664553156,0.003072595967674963,0.006123606211854377,0.009110806132212749,0.01211983580451332,0.023787279789846672,-1.1737822454604663
-1.7499949715131042,0.004321373782642578,0.008557591784246987,0.012752887491215907,0.016908043972074918,0.0328604159521436,-1.0456748202322754
-1.5999976540720442,0.006037954997317177,0.011950866059398414,0.01774266416149849,0.02341708984110485,0.04500986090582403,-0.9175814663116434
-1.4500041484693489,0.008429826797229934,0.01657374626912324,0.024485667699166973,0.032175376961362856,0.06073560344931852,-0.7894913675902983
-1.2999976028577462,0.011612729219423752,0.022716980051030067,0.03338354117311913,0.04355874691473269,0.08051826052711768,-0.6613901330799629
-1.149997413907539,0.015820634262069203,0.03072112936046204,0.04477487425644247,0.05804623039528174,0.10462366043532574,-0.5332943269738937
-1.0,0.021272013951038178,0.04087912451578685,0.058995093525416306,0.07580235362682589,0.13302767289987746,-0.40520089067368953
-0.8500115435085239,0.028083007017838512,0.05330898112409991,0.07616693934493259,0.09701423117803297,0.16554107672237306,-0.2771151037467245
-0.6999917974461869,0.03638932866569194,0.06814874097329375,0.09631897051260972,0.1215270164553788,0.2017793537250607,-0.14900259643473732
-0.5499973698268139,0.04614384074922614,0.08536194368612951,0.11935488129642628,0.14921911265537988,0.24127246990169557,-0.02091171033792003
-0.3999969133722596,0.05739981726606229,0.10482840365365537,0.1450409400370239,0.17981022287879583,0.28352736486169366,0.10718432420909475
-0.2500010234416509,0.07007482626752831,0.12642365373733852,0.17318626841227402,0.21290639275030232,0.3280328450335252,0.23527645907724903
-0.09999903484653047,0.08400399060802946,0.14986545302626153,0.20344086683043774,0.24821856119007474,0.3742349521525766,0.36337380202782155
0.049992856920142645,0.09912792772646715,0.17496062293802545,0.2355284469075489,0.2853547410303701,0.4216697240795476,0.4914625225800616
0.20000186540660178,0.1152109767041682,0.2015063670532381,0.2691625654317447,0.3239736053508822,0.4698072938817903,0.6195658603140147
0.3499958992628564,0.13219562957342365,0.22922094370273818,0.30401633652076615,0.36372476900637474,0.518171633602262,0.7476564101485619
0.5000030680516933,0.14989620715876054,0.2579184503140584,0.33984878303763705,0.4042862290190323,0.5662724642977817,0.8757581768341611
0.6499965074660414,0.1682322295134208,0.28739858923425415,0.376376186315962,0.4453394987427936,0.6136092905701205,1.0038482190325797
0.8000018278179687,0.18701280701895429,0.3174364965350991,0.41333329903991123,0.48657215051835634,0.6596975723343211,1.1319484072067276
0.9499995428599219,0.20617799751999724,0.3478956934932317,0.45051083816730797,0.5276814461187914,0.7040045831105793,1.2600421006669782
1.0999912335446844,0.22561938133339943,0.3785795761157748,0.4876473475176184,0.568366020627623,0.7460500771522753,1.388130649501105
1.2500050284868958,0.24529052860683284,0.4093412685967815,0.5245259366263757,0.6083227447458954,0.7853227153707386,1.5162380747292956
1.400002345927956,0.26507737800359427,0.4400585431496644,0.5609343151792506,0.6472460088189868,0.8213956043921276,1.6443314286499278
1.5499958515306511,0.28492678699028695,0.47057218190538247,0.596641072587857,0.6848543345782028,0.8538745700808361,1.772421527371273
1.700002397142254,0.3047920164922273,0.500785172917456,0.6314539159619675,0.7208536192723113,0.8825017696263789,1.9005227618816083
