runload,alphaload,mu,k,n,outputAmplification,workofSepration,PB
-10000000000.0,1.08086625958947,1.0,0.1,0.2,3.11824036055231,2.18786710724897,9.354188187508328
-100000.0,1.08086625958947,1.0,0.1,0.2,2.7910051831002,2.697229758012,5.232292166097845
-12589.2541179417,1.08086625958947,1.0,0.1,0.2,2.61224859922363,2.86457361147825,4.144631320421968
-1291549.66501488,1.08086625958947,1.0,0.1,0.2,2.9437123495885,2.43950222712767,6.562914440455619
-1584.89319246111,1.08086625958947,1.0,0.1,0.2,2.28985769371455,3.07895493036804,3.1535892022034555
-16681005.3720006,1.08086625958947,1.0,0.1,0.2,3.01837826264829,2.06546748174309,7.709674385807205
-199.526231496888,1.08086625958947,1.0,0.1,0.2,1.96564136909989,3.20267651740852,2.3245521678288776
-215443469.003188,1.08086625958947,1.0,0.1,0.2,3.08950608692236,2.13394945658226,8.571445389998615
-25118.8643150958,1.08086625958947,1.0,0.1,0.2,2.67521479230558,2.97272273562676,4.500770872401668
-2782559402.20713,1.08086625958947,1.0,0.1,0.2,3.11444847139711,2.17447754958867,9.151238591649257
-3162.27766016838,1.08086625958947,1.0,0.1,0.2,2.39212162145557,3.08260860384216,3.4683627373364754
-3162.27766016838,1.08086625958947,1.0,0.1,0.2,2.39741450012425,3.09358293462991,3.4683627373364754
-359381.366380463,1.08086625958947,1.0,0.1,0.2,2.86113196027884,2.34778701984277,5.910192191878297
-398.107170553497,1.08086625958947,1.0,0.1,0.2,2.07700466669347,3.17151734670743,2.5804301933729694
-4641588.83361277,1.08086625958947,1.0,0.1,0.2,2.9849007140279,2.51182446133808,7.168225778705046
-50118.7233627271,1.08086625958947,1.0,0.1,0.2,2.72682481785848,2.61672582543705,4.864566627851238
-59948425.0318941,1.08086625958947,1.0,0.1,0.2,3.0618615300989,2.10405018221475,8.178095375700808
-6309.57344480193,1.08086625958947,1.0,0.1,0.2,2.5586956150632,2.74805798148029,3.7995200301887175
-774263682.681128,1.08086625958947,1.0,0.1,0.2,3.10580308292084,2.15691563943673,8.8933742776009
-794.328234724281,1.08086625958947,1.0,0.1,0.2,2.18514371430017,3.14364703617646,2.8571262650762392
-10000000000.0,3.23321087139675,1.0,0.1,0.2,4.29940293815291,3.083297061949,9.354188187508328
-100000.0,3.23321087139675,1.0,0.1,0.2,3.58918461493656,4.09466326700591,5.232292166097845
-12589.2541179417,3.23321087139675,1.0,0.1,0.2,3.24291064257145,4.8402389064062,4.144631320421968
-1291549.66501488,3.23321087139675,1.0,0.1,0.2,3.88307792041901,4.22917171761926,6.562914440455619
-1584.89319246111,3.23321087139675,1.0,0.1,0.2,2.70478063925851,4.68027875514167,3.1535892022034555
-16681005.3720006,3.23321087139675,1.0,0.1,0.2,4.07887530187152,3.34092095922918,7.709674385807205
-199.526231496888,3.23321087139675,1.0,0.1,0.2,2.18255486751822,4.72695271688951,2.3245521678288776
-215443469.003188,3.23321087139675,1.0,0.1,0.2,4.20244425350183,3.59409344532633,8.571445389998615
-25118.8643150958,3.23321087139675,1.0,0.1,0.2,3.36637093191889,4.65872541092572,4.500770872401668
-2782559402.20713,3.23321087139675,1.0,0.1,0.2,4.26534498033664,3.0356172961306,9.151238591649257
-3162.27766016838,3.23321087139675,1.0,0.1,0.2,2.87888750967709,4.59536528745006,3.4683627373364754
-3162.27766016838,3.23321087139675,1.0,0.1,0.2,2.86955531042627,4.56454337131476,3.4683627373364754
-359381.366380463,3.23321087139675,1.0,0.1,0.2,3.75922438118083,3.89913540869522,5.910192191878297
-398.107170553497,3.23321087139675,1.0,0.1,0.2,2.35661128920217,4.71696648474126,2.5804301933729694
-4641588.83361277,3.23321087139675,1.0,0.1,0.2,4.01003716762647,3.82677821399891,7.168225778705046
-50118.7233627271,3.23321087139675,1.0,0.1,0.2,3.48793101710671,4.40844471680721,4.864566627851238
-59948425.0318941,3.23321087139675,1.0,0.1,0.2,4.16195353650322,3.48326834349153,8.178095375700808
-6309.57344480193,3.23321087139675,1.0,0.1,0.2,3.06015748912786,4.64507326701043,3.7995200301887175
-6309.57344480193,3.23321087139675,1.0,0.1,0.2,3.03876500689537,4.66305723129444,3.7995200301887175
-774263682.681128,3.23321087139675,1.0,0.1,0.2,4.21577153060492,2.97436451437092,8.8933742776009
