V_pb,n_0.2,n_0.3,n_0.4,n_0.5,n_0.6,n_0.7,n_0.8,n_0.9,n_1.0,n_1.1,n_1.2,n_1.3,n_1.4,n_1.5,n_1.6,n_1.7,n_1.8,n_1.9,n_2.0
0.0001,1.00005654865252,1.00008482297641,1.0001130972964,1.00014137161739,1.00016964593783,1.00019792025095,1.00022619455487,1.00025446885384,1.0002831817215,1.00031101747769,1.00033929176467,1.00036756607148,1.000395840354,1.00042411464161,1.00045238892886,1.00048094594894,1.00050893747932,1.00053721174129,1.00056520627322
0.000102329299228075,1.00005786583912,1.00008679875765,1.0001157316695,1.000144664584,1.00017359749408,1.00020253040373,1.00023146329595,1.00026039619634,1.0002897707164,1.0003182620028,1.00034719487617,1.00037612777196,1.00040506064513,1.00043399352191,1.00046292639861,1.00049214859566,1.00052079213018,1.00054972498181,1.00057836760279
0.00010471285480509,1.00005921370681,1.00008882055844,1.00011842740401,1.00014803425227,1.00017764109603,1.00020724794185,1.0002368547639,1.00026646159163,1.00029651322184,1.00032567525472,1.00035528206865,1.00038488889392,1.000414495702,1.0004441025103,1.00047370931782,1.00050361218311,1.00053292290883,1.00056252968959,1.00059183908518
0.000107151930523761,1.00006059296978,1.00009088945435,1.00012118593092,1.00015148240939,1.00018177888428,1.00021207535818,1.00024237181734,1.00027266827958,1.00030341284917,1.00033326119811,1.00036355763719,1.00039385409307,1.00042415053034,1.00045444696618,1.00048474340197,1.00051534279254,1.00054533624838,1.00057563265703,1.0006056278073
0.000109647819614319,1.00006200436141,1.00009300653911,1.00012400871029,1.00015501088556,1.00018601305445,1.00021701521985,1.00024801737496,1.00027901953005,1.00031047442358,1.00034102383204,1.00037202597236,1.00040302811924,1.00043403024455,1.00046503237537,1.00049603450201,1.00052734663985,1.00055803873048,1.00058904082847,1.0006197336799
0.000112201845430196,1.00006344862726,1.00009517293829,1.00012689724307,1.00015862154931,1.0001903458485,1.00022207014897,1.00025379443066,1.00028551871269,1.00031769902814,1.00034896729045,1.00038069155372,1.00041241583375,1.00044414008854,1.00047586434783,1.00050758860432,1.00053963009048,1.00057103708756,1.00060276131351,1.00063416550305
0.000114815362149688,1.00006492653557,1.00009738979801,1.00012985305801,1.0001623163163,1.00019477957205,1.00022724282231,1.00025970605535,1.00029216929968,1.00032509308627,1.00035709576394,1.00038955898224,1.00042202221487,1.00045448541876,1.00048694862738,1.0005194118326,1.00055219965692,1.00058433821411,1.00061680138883,1.00064893785713
0.000117489755493953,1.00006643886711,1.00009965829693,1.00013287772068,1.00016609714439,1.0001993165659,1.00023253598047,1.0002657553791,1.0002989747846,1.00033265955715,1.00036541358754,1.00039863296181,1.00043185235411,1.00046507172053,1.00049829109258,1.00053151045744,1.00056506200604,1.00059794916053,1.00063116849522,1.00066405386035
0.000120226443461741,1.00006798642517,1.00010197963575,1.00013597283677,1.00016996603983,1.000203959237,1.00023795242977,1.00027194560508,1.00030593878545,1.00034040247926,1.000373925147,1.00040791829791,1.00044191146612,1.00047590460848,1.00050989775472,1.00054389089339,1.00057822395383,1.00061187714499,1.0006458702521,1.00067952078924
0.000123026877081238,1.00006957003266,1.00010435504537,1.00013914004854,1.00017392505247,1.00020871005269,1.00024349504701,1.00027828002804,1.00031306500331,1.00034832388064,1.00038263495512,1.00041741991403,1.00045220487875,1.0004869898235,1.00052177476713,1.00055655970447,1.00059169247913,1.00062612954843,1.00066091445214,1.00069535012253
